,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,day_added,duration_value,duration_unit,tags
0,s1,movie,Dick Johnson Is Dead,kirsten johnson,unknown,United States,2021-09-25,2020,PG-13,90 min,['documentaries'],as her father nears the end of his life  filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable.,2021,September,25,90.0,min,['documentaries'] ['documentaries'] unknown kirsten johnson as her father nears the end of his life filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable. movie
1,s2,tv show,Blood & Water,unknown,ama qamata  khosi ngema  gail mabalane  thabang molaba  dillon windvogel  natasha thahane  arno greeff  xolile tshabalala  getmore sithole  cindy mahlangu  ryle de morny  greteli fincham  sello maake ka-ncube  odwa gwanya  mekaila mathys  sandi schultz  duane williams  shamilla miller  patrick mofokeng,South Africa,2021-09-24,2021,TV-MA,2 Seasons,['international tv shows'  'tv dramas'  'tv mysteries'],after crossing paths at a party  a cape town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.,2021,September,24,2.0,Seasons,['international tv shows' 'tv dramas' 'tv mysteries'] ['international tv shows' 'tv dramas' 'tv mysteries'] ama qamata khosi ngema gail mabalane thabang molaba dillon windvogel natasha thahane arno greeff xolile tshabalala getmore sithole cindy mahlangu ryle de morny greteli fincham sello maake ka-ncube odwa gwanya mekaila mathys sandi schultz duane williams shamilla miller patrick mofokeng unknown after crossing paths at a party a cape town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth. tv show
2,s3,tv show,Ganglands,julien leclercq,sami bouajila  tracy gotoas  samuel jouy  nabiha akkari  sofia lesaffre  salim kechiouche  noureddine farihi  geert van rampelberg  bakary diombera,Unknown,2021-09-24,2021,TV-MA,1 Season,['crime tv shows'  'international tv shows'  'tv action & adventure'],to protect his family from a powerful drug lord  skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war.,2021,September,24,1.0,Season,['crime tv shows' 'international tv shows' 'tv action & adventure'] ['crime tv shows' 'international tv shows' 'tv action & adventure'] sami bouajila tracy gotoas samuel jouy nabiha akkari sofia lesaffre salim kechiouche noureddine farihi geert van rampelberg bakary diombera julien leclercq to protect his family from a powerful drug lord skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war. tv show
3,s4,tv show,Jailbirds New Orleans,unknown,unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,['docuseries'  'reality tv'],feuds  flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series.,2021,September,24,1.0,Season,['docuseries' 'reality tv'] ['docuseries' 'reality tv'] unknown unknown feuds flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series. tv show
4,s5,tv show,Kota Factory,unknown,mayur more  jitendra kumar  ranjan raj  alam khan  ahsaas channa  revathi pillai  urvi singh  arun kumar,India,2021-09-24,2021,TV-MA,2 Seasons,['international tv shows'  'romantic tv shows'  'tv comedies'],in a city of coaching centers known to train india’s finest collegiate minds  an earnest but unexceptional student and his friends navigate campus life.,2021,September,24,2.0,Seasons,['international tv shows' 'romantic tv shows' 'tv comedies'] ['international tv shows' 'romantic tv shows' 'tv comedies'] mayur more jitendra kumar ranjan raj alam khan ahsaas channa revathi pillai urvi singh arun kumar unknown in a city of coaching centers known to train india’s finest collegiate minds an earnest but unexceptional student and his friends navigate campus life. tv show
5,s6,tv show,Midnight Mass,mike flanagan,kate siegel  zach gilford  hamish linklater  henry thomas  kristin lehman  samantha sloyan  igby rigney  rahul kohli  annarah cymone  annabeth gish  alex essoe  rahul abburi  matt biedel  michael trucco  crystal balint  louis oliver,Unknown,2021-09-24,2021,TV-MA,1 Season,['tv dramas'  'tv horror'  'tv mysteries'],the arrival of a charismatic young priest brings glorious miracles  ominous mysteries and renewed religious fervor to a dying town desperate to believe.,2021,September,24,1.0,Season,['tv dramas' 'tv horror' 'tv mysteries'] ['tv dramas' 'tv horror' 'tv mysteries'] kate siegel zach gilford hamish linklater henry thomas kristin lehman samantha sloyan igby rigney rahul kohli annarah cymone annabeth gish alex essoe rahul abburi matt biedel michael trucco crystal balint louis oliver mike flanagan the arrival of a charismatic young priest brings glorious miracles ominous mysteries and renewed religious fervor to a dying town desperate to believe. tv show
6,s7,movie,My Little Pony: A New Generation,robert cullen  josé luis ucha,vanessa hudgens  kimiko glenn  james marsden  sofia carson  liza koshy  ken jeong  elizabeth perkins  jane krakowski  michael mckean  phil lamarr,Unknown,2021-09-24,2021,PG,91 min,['children & family movies'],equestria's divided. but a bright-eyed hero believes earth ponies  pegasi and unicorns should be pals — and  hoof to heart  she’s determined to prove it.,2021,September,24,91.0,min,['children & family movies'] ['children & family movies'] vanessa hudgens kimiko glenn james marsden sofia carson liza koshy ken jeong elizabeth perkins jane krakowski michael mckean phil lamarr robert cullen josé luis ucha equestria's divided. but a bright-eyed hero believes earth ponies pegasi and unicorns should be pals — and hoof to heart she’s determined to prove it. movie
7,s8,movie,Sankofa,haile gerima,kofi ghanaba  oyafunmike ogunlano  alexandra duah  nick medley  mutabaruka  afemo omilami  reggie carter  mzuri,United States,2021-09-24,1993,TV-MA,125 min,['dramas'  'independent movies'  'international movies'],on a photo shoot in ghana  an american model slips back in time  becomes enslaved on a plantation and bears witness to the agony of her ancestral past.,2021,September,24,125.0,min,['dramas' 'independent movies' 'international movies'] ['dramas' 'independent movies' 'international movies'] kofi ghanaba oyafunmike ogunlano alexandra duah nick medley mutabaruka afemo omilami reggie carter mzuri haile gerima on a photo shoot in ghana an american model slips back in time becomes enslaved on a plantation and bears witness to the agony of her ancestral past. movie
8,s9,tv show,The Great British Baking Show,andy devonshire,mel giedroyc  sue perkins  mary berry  paul hollywood,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,['british tv shows'  'reality tv'],a talented batch of amateur bakers face off in a 10-week competition  whipping up their best dishes in the hopes of being named the u.k.'s best.,2021,September,24,9.0,Seasons,['british tv shows' 'reality tv'] ['british tv shows' 'reality tv'] mel giedroyc sue perkins mary berry paul hollywood andy devonshire a talented batch of amateur bakers face off in a 10-week competition whipping up their best dishes in the hopes of being named the u.k.'s best. tv show
9,s10,movie,The Starling,theodore melfi,melissa mccarthy  chris o'dowd  kevin kline  timothy olyphant  daveed diggs  skyler gisondo  laura harrier  rosalind chao  kimberly quinn  loretta devine  ravi kapoor,United States,2021-09-24,2021,PG-13,104 min,['comedies'  'dramas'],a woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021,September,24,104.0,min,['comedies' 'dramas'] ['comedies' 'dramas'] melissa mccarthy chris o'dowd kevin kline timothy olyphant daveed diggs skyler gisondo laura harrier rosalind chao kimberly quinn loretta devine ravi kapoor theodore melfi a woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward. movie
10,s11,tv show,"Vendetta: Truth, Lies and The Mafia",unknown,unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,['crime tv shows'  'docuseries'  'international tv shows'],"sicily boasts a bold ""anti-mafia"" coalition. but what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021,September,24,1.0,Season,"['crime tv shows' 'docuseries' 'international tv shows'] ['crime tv shows' 'docuseries' 'international tv shows'] unknown unknown sicily boasts a bold ""anti-mafia"" coalition. but what happens when those trying to bring down organized crime are accused of being criminals themselves? tv show"
11,s12,tv show,Bangkok Breaking,kongkiat komesiri,sukollawat kanarot  sushar manaying  pavarit mongkolpisit  sahajak boonthanakit  suthipongse thatphithakkul  bhasaworn bawronkirati  daweerit chullasapya  waratthaya wongchayaporn  kittiphoom wongpentak  abhicha thanachanun  nophand boonyai  kittipong khamsat  arisara wongchalee  jaytiya naiwattanakul  pantipa arunwattanachai  panupan jantanawong  kungtap saelim  phumphat chartsuriyakiat  issara veranitinunt  keerati sivakuae  panjai sirisuwan  supranee charoenpol  suda chuenban  visaka banhansupavat  pitchatorn santinatornkul,Unknown,2021-09-23,2021,TV-MA,1 Season,['crime tv shows'  'international tv shows'  'tv action & adventure'],struggling to earn a living in bangkok  a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.,2021,September,23,1.0,Season,['crime tv shows' 'international tv shows' 'tv action & adventure'] ['crime tv shows' 'international tv shows' 'tv action & adventure'] sukollawat kanarot sushar manaying pavarit mongkolpisit sahajak boonthanakit suthipongse thatphithakkul bhasaworn bawronkirati daweerit chullasapya waratthaya wongchayaporn kittiphoom wongpentak abhicha thanachanun nophand boonyai kittipong khamsat arisara wongchalee jaytiya naiwattanakul pantipa arunwattanachai panupan jantanawong kungtap saelim phumphat chartsuriyakiat issara veranitinunt keerati sivakuae panjai sirisuwan supranee charoenpol suda chuenban visaka banhansupavat pitchatorn santinatornkul kongkiat komesiri struggling to earn a living in bangkok a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy. tv show
12,s13,movie,Je Suis Karl,christian schwochow,luna wedler  jannis niewöhner  milan peschel  edin hasanović  anna fialová  marlon boess  victor boccard  fleur geffrier  aziz dyab  mélanie fouché  elizaveta maximová,Germany,2021-09-23,2021,TV-MA,127 min,['dramas'  'international movies'],after most of her family is murdered in a terrorist bombing  a young woman is unknowingly lured into joining the very group that killed them.,2021,September,23,127.0,min,['dramas' 'international movies'] ['dramas' 'international movies'] luna wedler jannis niewöhner milan peschel edin hasanović anna fialová marlon boess victor boccard fleur geffrier aziz dyab mélanie fouché elizaveta maximová christian schwochow after most of her family is murdered in a terrorist bombing a young woman is unknowingly lured into joining the very group that killed them. movie
13,s14,movie,Confessions of an Invisible Girl,bruno garotti,klara castanho  lucca picon  júlia gomes  marcus bessa  kiria malheiros  fernanda concon  gabriel lima  caio cabral  leonardo cidade  jade cardozo,Unknown,2021-09-22,2021,TV-PG,91 min,['children & family movies'  'comedies'],when the clever but socially-awkward tetê joins a new school  she'll do anything to fit in. but the queen bee among her classmates has other ideas.,2021,September,22,91.0,min,['children & family movies' 'comedies'] ['children & family movies' 'comedies'] klara castanho lucca picon júlia gomes marcus bessa kiria malheiros fernanda concon gabriel lima caio cabral leonardo cidade jade cardozo bruno garotti when the clever but socially-awkward tetê joins a new school she'll do anything to fit in. but the queen bee among her classmates has other ideas. movie
14,s15,tv show,Crime Stories: India Detectives,unknown,unknown,Unknown,2021-09-22,2021,TV-MA,1 Season,['british tv shows'  'crime tv shows'  'docuseries'],cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021,September,22,1.0,Season,['british tv shows' 'crime tv shows' 'docuseries'] ['british tv shows' 'crime tv shows' 'docuseries'] unknown unknown cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations. tv show
15,s16,tv show,Dear White People,unknown,logan browning  brandon p. bell  deron horton  antoinette robertson  john patrick amedori  ashley blaine featherson  marque richardson  giancarlo esposito,United States,2021-09-22,2021,TV-MA,4 Seasons,['tv comedies'  'tv dramas'],"students of color navigate the daily slights and slippery politics of life at an ivy league college that's not nearly as ""post-racial"" as it thinks.",2021,September,22,4.0,Seasons,"['tv comedies' 'tv dramas'] ['tv comedies' 'tv dramas'] logan browning brandon p. bell deron horton antoinette robertson john patrick amedori ashley blaine featherson marque richardson giancarlo esposito unknown students of color navigate the daily slights and slippery politics of life at an ivy league college that's not nearly as ""post-racial"" as it thinks. tv show"
16,s17,movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,pedro de echave garcía  pablo azorín williams,unknown,Unknown,2021-09-22,2020,TV-MA,67 min,['documentaries'  'international movies'],declassified documents reveal the post-wwii life of otto skorzeny  a close hitler ally who escaped to spain and became an adviser to world presidents.,2021,September,22,67.0,min,['documentaries' 'international movies'] ['documentaries' 'international movies'] unknown pedro de echave garcía pablo azorín williams declassified documents reveal the post-wwii life of otto skorzeny a close hitler ally who escaped to spain and became an adviser to world presidents. movie
17,s18,tv show,Falsa identidad,unknown,luis ernesto franco  camila sodi  sergio goyri  samadhi zendejas  eduardo yáñez  sonya smith  alejandro camacho  azela robinson  uriel del toro  géraldine bazán  gabriela roel  marcus ornellas,Mexico,2021-09-22,2020,TV-MA,2 Seasons,['crime tv shows'  'spanish-language tv shows'  'tv dramas'],strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2021,September,22,2.0,Seasons,['crime tv shows' 'spanish-language tv shows' 'tv dramas'] ['crime tv shows' 'spanish-language tv shows' 'tv dramas'] luis ernesto franco camila sodi sergio goyri samadhi zendejas eduardo yáñez sonya smith alejandro camacho azela robinson uriel del toro géraldine bazán gabriela roel marcus ornellas unknown strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband. tv show
18,s19,movie,Intrusion,adam salky,freida pinto  logan marshall-green  robert john burke  megan elisabeth kelly  sarah minnich  hayes hargrove  mark sivertsen  brandon fierro  antonio valles  clint obenchain,Unknown,2021-09-22,2021,TV-14,94 min,['thrillers'],after a deadly home invasion at a couple’s new dream house  the traumatized wife searches for answers — and learns the real danger is just beginning.,2021,September,22,94.0,min,['thrillers'] ['thrillers'] freida pinto logan marshall-green robert john burke megan elisabeth kelly sarah minnich hayes hargrove mark sivertsen brandon fierro antonio valles clint obenchain adam salky after a deadly home invasion at a couple’s new dream house the traumatized wife searches for answers — and learns the real danger is just beginning. movie
19,s20,tv show,Jaguar,unknown,blanca suárez  iván marcos  óscar casas  adrián lastra  francesc garrido  stefan weinert  julia möller  alicia chojnowski,Unknown,2021-09-22,2021,TV-MA,1 Season,['international tv shows'  'spanish-language tv shows'  'tv action & adventure'],in the 1960s  a holocaust survivor joins a group of self-trained spies who seek justice against nazis fleeing to spain to hide after wwii.,2021,September,22,1.0,Season,['international tv shows' 'spanish-language tv shows' 'tv action & adventure'] ['international tv shows' 'spanish-language tv shows' 'tv action & adventure'] blanca suárez iván marcos óscar casas adrián lastra francesc garrido stefan weinert julia möller alicia chojnowski unknown in the 1960s a holocaust survivor joins a group of self-trained spies who seek justice against nazis fleeing to spain to hide after wwii. tv show
20,s21,tv show,Monsters Inside: The 24 Faces of Billy Milligan,olivier megaton,unknown,Unknown,2021-09-22,2021,TV-14,1 Season,['crime tv shows'  'docuseries'  'international tv shows'],in the late 1970s  an accused serial rapist claims multiple personalities control his behavior  setting off a legal odyssey that captivates america.,2021,September,22,1.0,Season,['crime tv shows' 'docuseries' 'international tv shows'] ['crime tv shows' 'docuseries' 'international tv shows'] unknown olivier megaton in the late 1970s an accused serial rapist claims multiple personalities control his behavior setting off a legal odyssey that captivates america. tv show
21,s22,tv show,Resurrection: Ertugrul,unknown,engin altan düzyatan  serdar gökhan  hülya darcan  kaan taşaner  esra bilgiç  osman soykut  serdar deniz  cengiz coşkun  reshad strik  hande subaşı,Turkey,2021-09-22,2018,TV-14,5 Seasons,['international tv shows'  'tv action & adventure'  'tv dramas'],when a good deed unwittingly endangers his clan  a 13th-century turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.,2021,September,22,5.0,Seasons,['international tv shows' 'tv action & adventure' 'tv dramas'] ['international tv shows' 'tv action & adventure' 'tv dramas'] engin altan düzyatan serdar gökhan hülya darcan kaan taşaner esra bilgiç osman soykut serdar deniz cengiz coşkun reshad strik hande subaşı unknown when a good deed unwittingly endangers his clan a 13th-century turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land. tv show
22,s23,movie,Avvai Shanmughi,k.s. ravikumar,kamal hassan  meena  gemini ganesan  heera rajgopal  nassar  s.p. balasubrahmanyam,Unknown,2021-09-21,1996,TV-PG,161 min,['comedies'  'international movies'],newly divorced and denied visitation rights with his daughter  a doting father disguises himself as a gray-haired nanny in order to spend time with her.,2021,September,21,161.0,min,['comedies' 'international movies'] ['comedies' 'international movies'] kamal hassan meena gemini ganesan heera rajgopal nassar s.p. balasubrahmanyam k.s. ravikumar newly divorced and denied visitation rights with his daughter a doting father disguises himself as a gray-haired nanny in order to spend time with her. movie
23,s24,movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,alex woo  stanley moore,maisie benson  paul killam  kerry gudjohnsen  ac lim,Unknown,2021-09-21,2021,TV-Y,61 min,['children & family movies'],from arcade games to sled days and hiccup cures  cory carson’s curious little sister chrissy speeds off on her own for fun and adventure all over town!,2021,September,21,61.0,min,['children & family movies'] ['children & family movies'] maisie benson paul killam kerry gudjohnsen ac lim alex woo stanley moore from arcade games to sled days and hiccup cures cory carson’s curious little sister chrissy speeds off on her own for fun and adventure all over town! movie
24,s25,movie,Jeans,s. shankar,prashanth  aishwarya rai bachchan  sri lakshmi  nassar,India,2021-09-21,1998,TV-14,166 min,['comedies'  'international movies'  'romantic movies'],when the father of the man she loves insists that his twin sons marry twin sisters  a woman creates an alter ego that might be a bit too convincing.,2021,September,21,166.0,min,['comedies' 'international movies' 'romantic movies'] ['comedies' 'international movies' 'romantic movies'] prashanth aishwarya rai bachchan sri lakshmi nassar s. shankar when the father of the man she loves insists that his twin sons marry twin sisters a woman creates an alter ego that might be a bit too convincing. movie
25,s26,tv show,Love on the Spectrum,unknown,brooke satchwell,Australia,2021-09-21,2021,TV-14,2 Seasons,['docuseries'  'international tv shows'  'reality tv'],finding love can be hard for anyone. for young adults on the autism spectrum  exploring the unpredictable world of dating is even more complicated.,2021,September,21,2.0,Seasons,['docuseries' 'international tv shows' 'reality tv'] ['docuseries' 'international tv shows' 'reality tv'] brooke satchwell unknown finding love can be hard for anyone. for young adults on the autism spectrum exploring the unpredictable world of dating is even more complicated. tv show
26,s27,movie,Minsara Kanavu,rajiv menon,arvind swamy  kajol  prabhu deva  nassar  s.p. balasubrahmanyam  girish karnad,Unknown,2021-09-21,1997,TV-PG,147 min,['comedies'  'international movies'  'music & musicals'],a tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2021,September,21,147.0,min,['comedies' 'international movies' 'music & musicals'] ['comedies' 'international movies' 'music & musicals'] arvind swamy kajol prabhu deva nassar s.p. balasubrahmanyam girish karnad rajiv menon a tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her. movie
27,s28,movie,Grown Ups,dennis dugan,adam sandler  kevin james  chris rock  david spade  rob schneider  salma hayek  maria bello  maya rudolph  colin quinn  tim meadows  joyce van patten,United States,2021-09-20,2010,PG-13,103 min,['comedies'],mourning the loss of their beloved junior high basketball coach  five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.,2021,September,20,103.0,min,['comedies'] ['comedies'] adam sandler kevin james chris rock david spade rob schneider salma hayek maria bello maya rudolph colin quinn tim meadows joyce van patten dennis dugan mourning the loss of their beloved junior high basketball coach five middle-aged pals reunite at a lake house and rediscover the joys of being a kid. movie
28,s29,movie,Dark Skies,scott stewart,keri russell  josh hamilton  j.k. simmons  dakota goyo  kadan rockett  l.j. benet  rich hutchman  myndy crist  annie thurman  jake brennan,United States,2021-09-19,2013,PG-13,97 min,['horror movies'  'sci-fi & fantasy'],a family’s idyllic suburban life shatters when an alien force invades their home  and as they struggle to convince others of the deadly threat.,2021,September,19,97.0,min,['horror movies' 'sci-fi & fantasy'] ['horror movies' 'sci-fi & fantasy'] keri russell josh hamilton j.k. simmons dakota goyo kadan rockett l.j. benet rich hutchman myndy crist annie thurman jake brennan scott stewart a family’s idyllic suburban life shatters when an alien force invades their home and as they struggle to convince others of the deadly threat. movie
29,s30,movie,Paranoia,robert luketic,liam hemsworth  gary oldman  amber heard  harrison ford  lucas till  embeth davidtz  julian mcmahon  josh holloway  richard dreyfuss  angela sarafyan,United States,2021-09-19,2013,PG-13,106 min,['thrillers'],blackmailed by his company's ceo  a low-level employee finds himself forced to spy on the boss's rival and former mentor.,2021,September,19,106.0,min,['thrillers'] ['thrillers'] liam hemsworth gary oldman amber heard harrison ford lucas till embeth davidtz julian mcmahon josh holloway richard dreyfuss angela sarafyan robert luketic blackmailed by his company's ceo a low-level employee finds himself forced to spy on the boss's rival and former mentor. movie
30,s31,movie,Ankahi Kahaniya,ashwiny iyer tiwari  abhishek chaubey  saket chaudhary,abhishek banerjee  rinku rajguru  delzad hiwale  kunal kapoor  zoya hussain  nikhil dwivedi  palomi ghosh,Unknown,2021-09-17,2021,TV-14,111 min,['dramas'  'independent movies'  'international movies'],as big city life buzzes around them  lonely souls discover surprising sources of connection and companionship in three tales of love  loss and longing.,2021,September,17,111.0,min,['dramas' 'independent movies' 'international movies'] ['dramas' 'independent movies' 'international movies'] abhishek banerjee rinku rajguru delzad hiwale kunal kapoor zoya hussain nikhil dwivedi palomi ghosh ashwiny iyer tiwari abhishek chaubey saket chaudhary as big city life buzzes around them lonely souls discover surprising sources of connection and companionship in three tales of love loss and longing. movie
